name|translation|question|answer
31May_2011_Tuesday_tagesschau-4293|tiefer luftdruck bringt teilen deutschlands noch gebietsweise unwetterartige gewittrige oder auch länger anhaltende regenfälle|Was bewirkt der tiefere Luftdruck in Deutschland?|Er bringt gebietsweise Unwetter und längere Regenfälle.
31May_2011_Tuesday_tagesschau-4296|in der nacht im süden und osten ergiebige regenfälle zwischen ostsee und bayern teilweise unwetterartige gewitter|Wann treten die ergiebigen Regenfälle auf?|In der Nacht.
31May_2011_Tuesday_tagesschau-4297|im süden regnet es am vormittag noch kräftig im osten noch schauer im norden und westen kommt mehr und mehr die sonne zum vorschein|Wann regnet es noch kräftig im Süden?|Am Vormittag.
31May_2011_Tuesday_tagesschau-4298|bei schauern und gewittern sind sturmböen möglich sonst weht der wind meist mäßig|Was passiert bei Schauern und Gewittern?|Bei Schauern und Gewittern sind Sturmböen möglich.
31May_2011_Tuesday_tagesschau-4299|heute nacht fünfzehn grad ganz im osten fünf grad in der eifel|Was sind die Temperaturen heute Nacht im Osten und in der Eifel?|Im Osten sind es fünfzehn Grad, in der Eifel fünf Grad.
31May_2011_Tuesday_tagesschau-4300|am tag elf grad bei dauerregen im süden bis zweiundzwanzig grad in der lausitz|Wie hoch ist die Temperatur im Süden während des Dauerregens?|Die Temperatur beträgt elf Grad.
31May_2011_Tuesday_tagesschau-4301|am donnerstag viel sonne südlich der donau einzelne schauer|Wann wird viel Sonne erwartet?|Am Donnerstag.
31May_2011_Tuesday_tagesschau-4302|am freitag sonne und wolken ab dem nachmittag einzelne kräftige gewitterschauer|Was wird am Freitag ab dem Nachmittag erwartet?|Am Freitag werden ab dem Nachmittag einzelne kräftige Gewitterschauer erwartet.
13July_2010_Tuesday_tagesschau-4304|und nun die wettervorhersage für morgen mittwoch den vierzehnten juli|Wann ist die Wettervorhersage, die erwähnt wird?|Für morgen, Mittwoch, den vierzehnten Juli.
13July_2010_Tuesday_tagesschau-4307|in der nacht zum donnerstag muss von westen erneut mit lokalen unwettern gerechnet werden|Was wird in der Nacht zum Donnerstag erwartet?|Lokale Unwetter.
13July_2010_Tuesday_tagesschau-4308|heute nacht klingen letzte schauer und gewitter ab dann ist es meist klar oder nur locker bewölkt|Was wird heute Nacht mit den Schauern und Gewittern geschehen?|Sie klingen ab.
13July_2010_Tuesday_tagesschau-4309|am tag scheint verbreitet die sonne hier und da ein paar quellwolken|Was scheint am Tag verbreitet?|Die Sonne.
13July_2010_Tuesday_tagesschau-4310|über den bergen können sich einzelne hitzegewitter entwickeln|Wann können sich über den Bergen einzelne Hitzegewitter entwickeln?|Sie können sich während heißer Tage entwickeln.
13July_2010_Tuesday_tagesschau-4311|im laufe des nachmittags und abends breiten sich von westen schauer und gewitter aus die örtlich unwetterpotenzial haben|Wann breiten sich die Schauer und Gewitter aus?|Im Laufe des Nachmittags und Abends.
13July_2010_Tuesday_tagesschau-4312|schwacher bis mäßiger an der see auch frischer wind aus süd bis südost|Wie ist der Wind am Meer für die kommende Zeit?|Er wird schwach bis mäßig und frisch aus südlichen bis südöstlichen Richtungen sein.
13July_2010_Tuesday_tagesschau-4315|dort morgen bis sechsunddreißig grad an der see nicht so brütend heiße siebenundzwanzig bis neunundzwanzig grad|Wie hoch wird die Temperatur dort morgen sein?|Die Temperatur wird bis sechsunddreißig Grad sein.
13July_2010_Tuesday_tagesschau-4316|am donnerstag verlagern sich die teilweise heftigen gewitter nach osten richtung westen wird es wieder freundlicher und nicht mehr so heiß|Was passiert am Donnerstag mit den Gewittern?|Am Donnerstag verlagern sich die teilweise heftigen Gewitter nach Osten.
01April_2010_Thursday_tagesschau-4321|heute nacht regnet oder schneit es noch im äußersten osten und südosten|Was wird heute Nacht im äußersten Osten und Südosten passieren?|Es wird regnen oder schneien.
01April_2010_Thursday_tagesschau-4322|richtung nordsee fallen regenschauer|Wann fallen die Regenschauer in Richtung Nordsee?|Die Regenschauer fallen in der Regel während des Herbstes und Winters.
01April_2010_Thursday_tagesschau-4323|am tag ist es überwiegend freundlich und nur vereinzelt fallen schauer|Wie ist das Wetter tagsüber?|Tagsüber ist es überwiegend freundlich mit vereinzelten Schauern.
01April_2010_Thursday_tagesschau-4324|gegen abend beginnt es dann im westen und südwesten hier und da zu regnen|Wann beginnt es zu regnen?|Gegen Abend.
01April_2010_Thursday_tagesschau-4325|der wind weht schwach bis mäßig im westen und nordwesten teilweise auch frisch|Wie stark weht der Wind im Westen und Nordwesten?|Der Wind weht schwach bis mäßig, teilweise auch frisch.
01April_2010_Thursday_tagesschau-4326|heute nacht drei grad an der oder minus sechs grad an den alpen|Wie viel Grad wird es heute Nacht an der Oder?|Drei Grad.
01April_2010_Thursday_tagesschau-4327|vorsicht wegen glätte|Warum sollte man wegen Glätte vorsichtig sein?|Man sollte vorsichtig sein, um Stürze und Unfälle zu vermeiden.
01April_2010_Thursday_tagesschau-4328|am tag sieben grad im bayerischen wald und vierzehn grad am rhein|Wie hoch ist die Temperatur am Tag im Bayerischen Wald?|Sieben Grad.
01April_2010_Thursday_tagesschau-4333|auch am ostermontag regnet es stellenweise in höheren lagen auch schnee|Was passiert auch am Ostermontag in höheren Lagen?|Auch am Ostermontag regnet es stellenweise in höheren Lagen auch Schnee.
23May_2010_Sunday_tagesschau-4334|und nun die wettervorhersage für morgen pfingstmontag den vierundzwanzigsten mai|Wann ist die Wettervorhersage, die erwähnt wird?|Für morgen, Pfingstmontag, den vierundzwanzigsten Mai.
23May_2010_Sunday_tagesschau-4338|von norden wird es heute nacht zunehmend wolkiger hier und da gibt es regen oder schauer vereinzelt mit blitz und donner|Wann wird es zunehmend wolkiger?|Heute Nacht.
23May_2010_Sunday_tagesschau-4339|richtung süden bleibt es meist klar|Wie ist das Wetter in Richtung Süden zu einem bestimmten Zeitpunkt?|Es bleibt meist klar.
23May_2010_Sunday_tagesschau-4340|von den alpen bis in den südwesten hält sich das sonnige und meist trockene wetter morgen noch|Wann wird sich das sonnige und meist trockene Wetter halten?|Morgen.
23May_2010_Sunday_tagesschau-4341|ansonsten fällt gebietsweise regen auch einzelne mitunter kräftige gewitter können sich entladen|Welche Wetterphänomene können sich zeitgleich mit dem Regen bilden?|Einzelne kräftige Gewitter.
23May_2010_Sunday_tagesschau-4342|im süden schwacher sonst mäßiger bis frischer und stark böiger westwind|Welchen Wind gibt es im Süden, und wie ist seine Stärke?|Im Süden gibt es schwachen, ansonsten mäßigen bis frischen und stark böigen Westwind.
23May_2010_Sunday_tagesschau-4343|in schauer und gewitternähe sind sturmböen möglich|Was ist in Schauer und Gewitternähe möglich?|Sturmböen sind möglich.
23May_2010_Sunday_tagesschau-4344|heute nacht neun bis vierzehn im süden unter klarem himmel fünf bis acht grad|Welche Temperaturen werden heute Nacht im Süden erwartet?|Fünf bis acht Grad.
23May_2010_Sunday_tagesschau-4345|am oberrhein morgen bei sonnenschein bis achtundzwanzig an der küste nur frische vierzehn grad|Was wird am Oberrhein morgen erwartet?|Am Oberrhein wird morgen Sonnenschein erwartet.
23May_2010_Sunday_tagesschau-4346|es wird tag für tag etwas kühler dazu gibt es wolken aber auch mal sonne und immer öfter regen schauer oder vor allem im süden auch teilweise kräftige gewitter|Was passiert mit dem Wetter über die Zeit hinweg?|Es wird tag für tag etwas kühler und es gibt immer mehr Regen und Gewitter.
11August_2009_Tuesday_tagesschau-4347|und nun die wettervorhersage für morgen mittwoch den zwölften august|Welcher Tag wird in der Wettervorhersage erwähnt?|Mittwoch, der zwölfte August.
11August_2009_Tuesday_tagesschau-4348|die nordhälfte europas liegt unter tiefdruckeinfluss|Wann liegt die nordhälfte Europas unter Tiefdruckeinfluss?|Die nordhälfte Europas liegt unter Tiefdruckeinfluss jetzt oder in der aktuellen Wetterlage.
11August_2009_Tuesday_tagesschau-4349|von südwesten macht sich allerdings ein ableger des azorenhochs bemerkbar|Was geschieht von Südwesten aus laut dem Satz?|Ein Ableger des Azorenhochs macht sich bemerkbar.
11August_2009_Tuesday_tagesschau-4350|deutschland liegt genau an der grenze zwischen diesen luftdruckgebieten und bekommt von allem etwas|Wo liegt Deutschland in Bezug auf die Luftdruckgebiete?|Deutschland liegt an der Grenze zwischen diesen Luftdruckgebieten.
11August_2009_Tuesday_tagesschau-4351|im südosten gibt es heute nacht noch einzelne schauer|Was wird im Südosten heute Nacht erwartet?|Es werden heute Nacht noch einzelne Schauer erwartet.
11August_2009_Tuesday_tagesschau-4352|sonst teils wolkig teils klar und meist trocken|Was sind die Wetterbedingungen laut dem Satz?|Teils wolkig, teils klar und meist trocken.
11August_2009_Tuesday_tagesschau-4353|im norden werden die wolken aber wieder dichter und bringt später vor allem richtung nordsee stellenweise regen|Was passiert später im Norden?|Später wird es im Norden stellenweise Regen geben.
11August_2009_Tuesday_tagesschau-4357|in der nacht temperaturen zwischen zwölf und sechzehn grad|Welche Temperaturen gibt es in der Nacht?|Temperaturen zwischen zwölf und sechzehn Grad.
11August_2009_Tuesday_tagesschau-4358|am tag werte von siebzehn grad im sauerland bis siebenundzwanzig grad im breisgau|Welche Temperaturen werden am Tag im Sauerland und im Breisgau erwartet?|Im Sauerland werden Temperaturen von 17 Grad und im Breisgau bis zu 27 Grad erwartet.
11August_2009_Tuesday_tagesschau-4359|donnerstag und freitag gibt es teils sonne teils wolken mit schauern|Was wird am Donnerstag und Freitag erwartet?|Teils Sonne, teils Wolken mit Schauern.
11August_2009_Tuesday_tagesschau-4360|örtlich sind auch gewitter dabei|Wann treten die Gewitter örtlich auf?|Die Gewitter treten örtlich derzeit auf.
11August_2009_Tuesday_tagesschau-4361|am samstag zeigen sich richtung norden noch gelegentlich wolken|Wann zeigen sich die Wolken Richtung Norden?|Am Samstag.
11August_2009_Tuesday_tagesschau-4362|aber es bleibt meist trocken|Was bleibt meist trocken?|Es bleibt meist trocken.
11August_2009_Tuesday_tagesschau-4363|im süden scheint häufig die sonne und es wird hochsommerlich warm|Wo scheint häufig die Sonne und wann wird es warm?|Im Süden, besonders im Hochsommer.
09September_2010_Thursday_tagesschau-4364|und nun die wettervorhersage für morgen freitag den zehnten september|Wann ist die Wettervorhersage, die erwähnt wird?|Für morgen, Freitag, den zehnten September.
09September_2010_Thursday_tagesschau-4365|noch liegt deutschland im einflussbereich einer umfangreichen tiefdruckzone die für recht wechselhaftes wetter sorgt|Welche Wetterbedingungen herrschen derzeit in Deutschland?|Es herrscht recht wechselhaftes Wetter.
09September_2010_Thursday_tagesschau-4366|aber von südwesten dehnt sich ein hoch aus das uns am wochenende verbreitet freundliches und warmes spätsommerwetter beschert|Wann wird das freundliche und warme Spätsommerwetter erwartet?|Am Wochenende.
09September_2010_Thursday_tagesschau-4367|heute nacht gibt es mal mehr mal weniger wolken und vereinzelte schauer in ostseenähe auch regen gebietsweise bildet sich nebel|Was wird heute Nacht bezüglich der Wolken und des Wetters erwartet?|Heute Nacht gibt es mal mehr mal weniger Wolken, vereinzelte Schauer und gebietsweise Regen.
09September_2010_Thursday_tagesschau-4368|am tag ein wechsel aus dichten wolken und etwas sonne die sich im süden öfter mal blicken lässt|Was passiert tagsüber mit den Wolken und der Sonne?|Tagsüber gibt es einen Wechsel aus dichten Wolken und etwas Sonne.
09September_2010_Thursday_tagesschau-4369|einzelne schauer sind auch dabei die im norden häufiger auftreten|Wo treten die einzelnen Schauer häufiger auf?|Im Norden.
09September_2010_Thursday_tagesschau-4370|am nachmittag sind dort auch mal kurze gewitter möglich|Wann sind kurze Gewitter möglich?|Am Nachmittag.
09September_2010_Thursday_tagesschau-4371|im süden meist schwacher im norden überwiegend mäßiger wind aus südwest bis west|Wie ist der Wind im Süden und Norden beschrieben?|Im Süden meist schwacher Wind, im Norden überwiegend mäßiger Wind.
09September_2010_Thursday_tagesschau-4372|an spree und ems heute nacht bis dreizehn am alpenrand nur sieben grad|Welche Temperatur wird heute Nacht am Alpenrand erwartet?|Nur sieben Grad.
09September_2010_Thursday_tagesschau-4373|morgen siebzehn bis einundzwanzig am oberrhein bis zweiundzwanzig grad|Welches Wetter wird morgen am Oberrhein erwartet?|Es werden Temperaturen von siebzehn bis zweiundzwanzig Grad erwartet.
09September_2010_Thursday_tagesschau-4374|am samstag scheint verbreitet die sonne im norden teilweise dichtere wolken die in küstennähe etwas regen bringen|Was wird am Samstag im Norden passieren?|Am Samstag wird die Sonne scheinen, aber es gibt teilweise dichtere Wolken, die in Küstennähe etwas Regen bringen.
09September_2010_Thursday_tagesschau-4375|am sonntag in der südosthälfte meist freundlich während sich im nordwesten wolken mit schauern oder gewittern breit machen|Was wird am Sonntag in der Südosthälfte erwartet?|Meist freundliches Wetter.
09September_2010_Thursday_tagesschau-4376|die neue woche startet wechselhaft und wieder kühler|Wann startet die neue Woche?|Die neue Woche startet wechselhaft und wieder kühler.
22June_2011_Wednesday_heute-4377|liebe zuschauer guten abend|Wann wünscht der Sprecher den Zuschauern einen guten Abend?|Der Sprecher wünscht den Zuschauern einen guten Abend jetzt.
22June_2011_Wednesday_heute-4378|heute ging es ordentlich zur sache beim wetter|Was war heute beim Wetter los?|Es ging ordentlich zur Sache.
22June_2011_Wednesday_heute-4379|seit heute mittag heftige gewitter unterwegs sogar ein tornado wurde schon gesichtet|Wann wurden die heftigen Gewitter und der Tornado gesichtet?|Seit heute Mittag.
22June_2011_Wednesday_heute-4380|und wir sehen es auch hier in frankfurt zeitweise die sicht auch gleich null|Wann ist die Sicht in Frankfurt zeitweise gleich null?|Die Sicht ist zeitweise gleich null.
22June_2011_Wednesday_heute-4382|und in diesem prozess sind diese heftigen gewitter entstanden die heute nacht dann einmal richtung nordosten abziehen aber im südosten bleibt es gewittrig und dazu kommt auch noch kräftiger regen|Welche Wetterbedingungen entstehen in diesem Prozess?|Heftige Gewitter entstehen.
22June_2011_Wednesday_heute-4383|und dieser starker regen der wird auch morgen zum teil noch anhalten im südosten auch es gibt noch einzelne gewitter durchaus lokal also überschwemmungsgefahr|Wann wird der starke Regen im Südosten zum Teil noch anhalten?|Der starke Regen wird morgen zum Teil noch anhalten.
22June_2011_Wednesday_heute-4384|von südwesten wird es freundlicher und in den nordwesten ziehen im laufe des tages wieder kräftige schauer und vereinzelt gewitter|Was wird im Laufe des Tages im Nordwesten passieren?|Im Laufe des Tages ziehen im Nordwesten wieder kräftige Schauer und vereinzelt Gewitter.
22June_2011_Wednesday_heute-4385|aber auf jeden fall kann man morgen mal durchatmen die temperaturen zwischen siebzehn grad am alpenrand und vierundzwanzig in der lausitz ganz angenehm|Was kann man morgen tun, laut dem Satz?|Man kann morgen mal durchatmen.
22June_2011_Wednesday_heute-4386|und die nächsten tage werden nach etwas kühlerem start eigentlich auch wieder ganz freundlich|Was wird mit den nächsten Tagen erwartet?|Sie werden nach einem kühleren Start wieder freundlich sein.
22June_2011_Wednesday_heute-4387|und zum sonntag wird es dann sogar auch von süden her wieder deutlich wärmer|Wann wird es wieder deutlich wärmer?|Am Sonntag.
22June_2011_Wednesday_heute-4388|jetzt wünsche ich ihnen noch einen schönen abend|Was wünscht die Person jetzt?|Einen schönen Abend.
25November_2011_Friday_tagesschau-4389|und nun die wettervorhersage für morgen samstag den sechsundzwanzigsten november|Wann ist die Wettervorhersage, die angesprochen wird?|Morgen, Samstag, den sechsundzwanzigsten November.
25November_2011_Friday_tagesschau-4390|das wolkenband eines tiefausläufers überquert heute nacht deutschland richtung südosten|Wohin überquert das Wolkenband heute Nacht Deutschland?|Richtung Südosten.
25November_2011_Friday_tagesschau-4391|am wochenende folgen von nordwesten weitere schwache tiefausläufer die auch nicht viel regen bringen|Was passiert am Wochenende in Bezug auf das Wetter?|Am Wochenende folgen weitere schwache Tiefausläufer.
25November_2011_Friday_tagesschau-4392|aber der wind legt noch zu und kann an der ostsee in böen orkanstärke erreichen|Was kann der Wind an der Ostsee erreichen?|Der Wind kann in Böen Orkanstärke erreichen.
25November_2011_Friday_tagesschau-4393|heute nacht verlagert sich das wolkenband nach südosten hier und da fällt ein wenig regen der vor allem in bayern örtlich gefrieren kann|Was wird heute Nacht mit dem Wolkenband geschehen?|Es verlagert sich nach Südosten.
25November_2011_Friday_tagesschau-4394|im süden beginnt der tag teilweise trübe sonst gibt es mal wolken mal sonne und es bleibt meist trocken|Wie ist das Wetter im Süden am Morgen?|Teilweise trübe, mit gelegentlichen Wolken und Sonne, aber meist trocken.
25November_2011_Friday_tagesschau-4395|im tagesverlauf werden die wolken im norden wieder dichter und bringen etwas regen|Was wird im Tagesverlauf mit den Wolken im Norden passieren?|Sie werden dichter und bringen etwas Regen.
25November_2011_Friday_tagesschau-4396|schwacher bis mäßiger im norden frischer bis starker südwestwind mit stürmischen böen an der see teilweise schwere sturmböen|Wie ist der Wind im Norden zur aktuellen Zeit beschrieben?|Der Wind ist schwach bis mäßig, mit frischem bis starkem Südwestwind und stürmischen Böen.
25November_2011_Friday_tagesschau-4397|im süden heute nacht wieder frostig auf den nordfriesischen inseln bis plus acht grad|Was wird heute Nacht im Süden auf den nordfriesischen Inseln erwartet?|Frostige Temperaturen bis plus acht Grad.
25November_2011_Friday_tagesschau-4400|in der nordhälfte sehr windig mit sturmböen an der ostsee auch orkanböen|Was ist das Wetter in der Nordhälfte der Ostsee?|Es ist sehr windig mit Sturmböen und auch Orkanböen.
25November_2011_Friday_tagesschau-4401|die neue woche bringt dann eine ruhige und trockene mischung aus nebel sonne und wolken|Was bringt die neue Woche für das Wetter?|Eine ruhige und trockene Mischung aus Nebel, Sonne und Wolken.
12August_2010_Thursday_tagesschau-4402|und nun die wettervorhersage für morgen freitag den dreizehnten august|Wann ist die Wettervorhersage, die erwähnt wird?|Die Wettervorhersage ist für morgen, Freitag, den dreizehnten August.
12August_2010_Thursday_tagesschau-4404|im osten und südosten deutschlands muss deshalb mit teilweise langanhaltenden und ergiebigen regenfällen gerechnet werden|Wo wird mit langanhaltenden und ergiebigen Regenfällen gerechnet?|Im Osten und Südosten Deutschlands.
12August_2010_Thursday_tagesschau-4405|es bestehen entsprechende unwetterwarnungen des deutschen wetterdienstes|Wann wurden die Unwetterwarnungen des Deutschen Wetterdienstes veröffentlicht?|Die genauen Veröffentlichungszeiten sind nicht angegeben, aber sie sind aktuell.
12August_2010_Thursday_tagesschau-4406|schon in der nacht fällt in der osthälfte gebietsweise kräftiger regen örtlich auch mit blitz und donner|Wann fällt der Regen in der Osthälfte?|Schon in der Nacht.
12August_2010_Thursday_tagesschau-4407|richtung westen anfangs noch einige schauer dann teils wolkig teils klar|Was passiert anfangs in Richtung Westen?|Anfänglich gibt es noch einige Schauer.
12August_2010_Thursday_tagesschau-4408|hier und da bildet sich nebel|Wann bildet sich der Nebel?|Hier und da, zu unterschiedlichen Zeiten.
12August_2010_Thursday_tagesschau-4409|auch am tag im osten und südosten zum teil kräftige regenfälle mit einzelnen gewittern sonst gibt es mal sonne mal wolken ab und zu auch ein paar schauer|Was wird über das Wetter tagsüber im Osten und Südosten gesagt?|Es gibt kräftige Regenfälle mit einzelnen Gewittern.
12August_2010_Thursday_tagesschau-4410|meist weht ein schwacher wind aus unterschiedlichen richtungen|Wann weht meist ein schwacher Wind aus unterschiedlichen Richtungen?|Meist weht er während des Tages oder in der frühen Abenddämmerung.
12August_2010_Thursday_tagesschau-4411|in der uckermark heute nacht bis siebzehn in der eifel nur acht grad|Wie hoch wird die Temperatur in der Uckermark heute Nacht sein?|Die Temperatur wird heute Nacht bis siebzehn Grad sein.
12August_2010_Thursday_tagesschau-4412|morgen im dauerregen unter zwanzig am main sommerliche fünfundzwanzig grad|Wann wird es morgen bei einem Dauerregen unter zwanzig Grad sein?|Morgen bei fünfundzwanzig Grad.
12August_2010_Thursday_tagesschau-4413|auch am wochenende meist mehr wolken als sonne gebietsweise gibt es schauer oder gewitter zum teil fällt auch kräftiger regen|Gibt es am Wochenende mehr Sonne oder mehr Wolken?|Mehr Wolken.
12August_2010_Thursday_tagesschau-4414|wechselhaft geht es dann auch in die neue woche|Wie wird das Wetter in der neuen Woche sein?|Es wird wechselhaft sein.
21March_2011_Monday_tagesschau-4415|und nun die wettervorhersage für morgen dienstag den einundzwanzigsten märz|An welchem Tag wird die Wettervorhersage gegeben?|Am Dienstag, den einundzwanzigsten März.
21March_2011_Monday_tagesschau-4416|das hoch über mittel und westeuropa sorgt bei uns in deutschland auch in den kommenden tagen für meist sonniges wetter|Was wird das Hoch über Mittel- und Westeuropa in Deutschland in den kommenden Tagen bewirken?|Es wird meist sonniges Wetter bringen.
21March_2011_Monday_tagesschau-4417|die temperaturen steigen allmählich an so dass am donnerstag im südwesten bis zu zwanzig grad möglich sind|Wann werden die Temperaturen im Südwesten bis zu zwanzig Grad erreichen?|Am Donnerstag.
21March_2011_Monday_tagesschau-4418|die nacht verläuft meist klar im norden teilweise dichte wolken aus denen es vereinzelt etwas nieseln kann|Was kann in der Nacht im Norden mit den dichten Wolken passieren?|Es kann vereinzelt etwas nieseln.
21March_2011_Monday_tagesschau-4419|morgen am tag wieder sonniges märzwetter hier und da ein paar schleierwolken über dem norden halten sich teilweise dichte wolken|Wann wird es sonniges Märzwetter geben?|Morgen.
21March_2011_Monday_tagesschau-4420|der wind weht schwach aus unterschiedlichen richtungen am meer mäßiger bis frischer wind|Wie stark weht der Wind am Meer?|Er weht mäßig bis frisch.
21March_2011_Monday_tagesschau-4421|heute nacht vier grad im norden und minus sechs grad an den alpen|Was wird heute Nacht im Norden und an den Alpen erwartet?|Im Norden werden vier Grad und an den Alpen minus sechs Grad erwartet.
21March_2011_Monday_tagesschau-4422|am tag siebzehn grad im raum köln und sieben grad an der ostsee|Wie hoch ist die Temperatur in Köln?|Siebzehn Grad.
21March_2011_Monday_tagesschau-4423|die aussichten auch am mittwoch viel sonnenschein in der nordosthälfte hier und da wolken|Wann wird viel Sonnenschein in der Nordosthälfte erwartet?|Am Mittwoch.
21March_2011_Monday_tagesschau-4424|auch am donnerstag frühlingshaftes wetter im norden und nordosten ist es allerdings wolkig|An welchem Wochentag wird frühlingshaftes Wetter im Norden und Nordosten erwartet?|Am Donnerstag.
21March_2011_Monday_tagesschau-4425|auch am freitag in der südhälfte viel sonne sonst neben sonne einige wolken im norden vereinzelt regen|Was wird am Freitag in der Südhälfte erwartet?|Viel Sonne.
21March_2011_Monday_tagesschau-4426|am freitag wird es zunächst im norden kälter|Wann wird es im Norden kälter?|Am Freitag.
23August_2010_Monday_tagesschau-4427|und nun die wettervorhersage für morgen dienstag den vierundzwanzigsten august|Wann ist die Wettervorhersage, die angesprochen wird?|Für morgen, Dienstag den 24. August.
23August_2010_Monday_tagesschau-4428|zwischen dem tief im norden und dem azorenhoch fließt kühle meeresluft heran|Woher fließt die kühle Meeresluft heran?|Sie fließt zwischen dem tief im Norden und dem Azorenhoch heran.
23August_2010_Monday_tagesschau-4431|richtung westen und norden lockern die wolken teilweise auf in küstennähe sind aber weiterhin schauer unterwegs|Wann lockern die Wolken teilweise auf?|Die Wolken lockern teilweise auf in Richtung Westen und Norden.
23August_2010_Monday_tagesschau-4432|am tag im norden wolkig mit örtlichen schauern auch im süden ziemlich trübe dabei entwickeln sich schauer und einzelne gewitter|Was wird am Tag im Norden und im Süden erwartet?|Im Norden wird es wolkig mit örtlichen Schauern erwartet, und im Süden wird es ziemlich trübe mit Schauern und einzelnen Gewittern.
23August_2010_Monday_tagesschau-4433|dazwischen gibt es eine meist freundliche mischung aus sonne und wolken|Was gibt es zwischen Sonne und Wolken?|Eine meist freundliche Mischung.
23August_2010_Monday_tagesschau-4434|der wind bläst mäßig bis frisch im norden stark aus west bis südwest besonders an der küste sturmböen|Wie stark bläst der Wind im Norden besonders an der Küste?|Der Wind bläst stark aus West bis Südwest, besonders an der Küste sind Sturmböen möglich.
23August_2010_Monday_tagesschau-4435|im osten und süden heute nacht bis achtzehn im westen örtlich nur elf grad|Wie warm wird es heute Nacht im Westen?|Örtlich nur elf Grad.
23August_2010_Monday_tagesschau-4436|an der nordsee morgen frische siebzehn am oberrhein noch sommerliche fünfundzwanzig grad|Wie wird das Wetter morgen an der Nordsee im Vergleich zum Oberrhein sein?|Morgen wird es an der Nordsee frische 17 Grad und am Oberrhein sommerliche 25 Grad sein.
23August_2010_Monday_tagesschau-4437|mittwoch und donnerstag bleibt es im norden recht kühl und meist wolkig gebietsweise wird es auch nass und windig|An welchen Tagen bleibt es im Norden kühl und meist wolkig?|Am Mittwoch und Donnerstag.
23August_2010_Monday_tagesschau-4439|am freitag überall wechselhaft und teilweise sehr windig|Was wird am Freitag erwartet?|Am Freitag wird wechselhaftes Wetter und teilweise sehr windig erwartet.
05July_2009_Sunday_tagesschau-4440|und nun die wettervorhersage für morgen montag den sechsten juli|Für welchen Tag ist die Wettervorhersage?|Für morgen, Montag, den sechsten Juli.
05July_2009_Sunday_tagesschau-4441|die kaltfront eines tiefs über englands erreicht heute nacht den westen deutschlands begleitet von zum teil kräftigen schauern und gewittern|Wann erreicht die Kaltfront den Westen Deutschlands?|Heute Nacht.
05July_2009_Sunday_tagesschau-4442|dahinter folgt kühlerer atlantikluft in der sich das wetter recht wechselhaft gestaltet|Was folgt hinter der kühleren Atlantikluft?|Das Wetter gestaltet sich recht wechselhaft.
05July_2009_Sunday_tagesschau-4443|im nordosten und osten klart es heute nacht teilweise auf und es fallen kaum noch schauer|Was passiert im nordosten und osten heute Nacht?|Es klart teilweise auf und es fallen kaum noch Schauer.
05July_2009_Sunday_tagesschau-4444|die gibt es im süden aber noch reichlich örtlich mit blitz und donner|Wo gibt es im Süden noch reichlich örtlich Blitz und Donner?|Im Süden gibt es es reichlich örtlich Blitz und Donner.
05July_2009_Sunday_tagesschau-4445|gleichzeitig breiten sich von westen neue mitunter kräftige schauer und gewitter aus|Was geschieht gleichzeitig mit den neuen Schauern und Gewittern?|Sie breiten sich von Westen aus.
05July_2009_Sunday_tagesschau-4446|morgen verlagern sich die schauer in die osthälfte|Wohin verlagern sich die Schauer morgen?|In die Osthälfte.
05July_2009_Sunday_tagesschau-4447|vor allem im südosten können sich heftige gewitter bilden in der westhälfte gibt es dann mal sonne mal wolken mit ein paar schauern|Wo können sich vor allem heftige Gewitter bilden?|Vor allem im Südosten.
05July_2009_Sunday_tagesschau-4448|abgesehen von schauer und gewitterböen weht ein schwacher bis mäßiger wind aus west bis südwest|Welche Wetterbedingungen sind zurzeit zusätzlich zu dem schwachen bis mäßigen Wind vorhanden?|Es gibt Schauer und Gewitterböen.
05July_2009_Sunday_tagesschau-4450|morgen temperaturen von neunzehn grad an der nordsee bis siebenundzwanzig in der lausitz und im breisgau|Welche Temperaturen werden morgen an der Nordsee erwartet?|Morgen werden an der Nordsee Temperaturen von neunzehn Grad erwartet.
05July_2009_Sunday_tagesschau-4451|in den nächsten tagen kühlt es weiter ab|Wann wird es kühler?|In den nächsten Tagen.
05July_2009_Sunday_tagesschau-4452|am donnerstag nur noch höchstwerte zwischen vierzehn und zweiundzwanzig grad|Welche Höchstwerte werden am Donnerstag erwartet?|Zwischen vierzehn und zweiundzwanzig Grad.
05July_2009_Sunday_tagesschau-4453|dazu gibt es viele wolken gelegentlich sonnenschein und immer wieder schauer oder gewitter|Was gibt es gelegentlich laut dem Satz?|Gelegentlich gibt es Sonnenschein.
13March_2011_Sunday_tagesschau-4454|und nun die wettervorhersage für morgen montag den vierzehnten märz|Wann ist die Wettervorhersage angesagt?|Für morgen, Montag, den vierzehnten März.
13March_2011_Sunday_tagesschau-4455|das tief über südwesteuropa lenkt dichte wolken zu uns|Welche Wetterlage wird in Bezug auf Südeuropa beschrieben?|Dichte Wolken ziehen zu uns.
13March_2011_Sunday_tagesschau-4457|in der nacht schließen sich auch die wolkenlücken im osten wie bereits zuvor in den anderen landesteilen|Wann schließen sich die Wolkenlücken im Osten?|In der Nacht.
